VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,7/1/2015 0:00,7/1/2015 0:07,5,1.1,-73.9864502,40.73552704,1,N,-74.00423431,40.74256134,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,7/1/2015 0:00,7/1/2015 0:18,1,3.77,-73.97147369,40.75915146,1,N,-74.00163269,40.71717834,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,7/1/2015 0:00,7/1/2015 0:06,1,1.22,-73.98792267,40.75742722,1,N,-73.99593353,40.74873352,1,6.5,0.5,0.5,1.56,0,0.3,9.36
1,7/1/2015 0:00,7/1/2015 0:15,1,2.6,-73.98056793,40.75100327,1,N,-74.00440979,40.73098755,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,7/1/2015 0:00,7/1/2015 0:14,1,2.8,-74.00148773,40.73589706,1,N,-73.97298431,40.75563049,2,12,0.5,0.5,0,0,0.3,13.3
1,7/1/2015 0:00,7/1/2015 0:10,1,3.1,-73.97774506,40.74609756,1,N,-73.94780731,40.78046417,2,11,0.5,0.5,0,0,0.3,12.3
1,7/1/2015 0:00,7/1/2015 0:20,2,4.8,-73.99991608,40.73868561,1,N,-73.97280121,40.67764664,1,18,0.5,0.5,3.85,0,0.3,23.15
2,7/1/2015 0:00,7/1/2015 0:04,1,0.71,-74.00415802,40.71981049,1,N,-73.99909973,40.72787094,1,5,0.5,0.5,1.26,0,0.3,7.56
2,7/1/2015 0:00,7/1/2015 0:22,6,3.93,-73.9618988,40.76379013,1,N,-74.00163269,40.73542023,1,17,0.5,0.5,3.66,0,0.3,21.96
1,7/1/2015 0:00,7/1/2015 0:19,1,3.4,-73.95703125,40.77066803,1,N,-73.92092133,40.75522995,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,7/1/2015 0:00,7/1/2015 0:20,1,4.71,-74.00325775,40.73169327,1,N,-73.95482635,40.77414322,1,18,0.5,0.5,3.86,0,0.3,23.16
2,7/1/2015 0:00,7/1/2015 0:11,4,1.32,-73.99417877,40.74588013,1,N,-73.98356628,40.75857162,2,9,0.5,0.5,0,0,0.3,10.3
1,7/1/2015 0:00,7/1/2015 0:12,1,3.5,-73.98116302,40.73799133,1,N,-73.94628143,40.77733231,1,12.5,0.5,0.5,2.75,0,0.3,16.55
1,7/1/2015 0:00,7/1/2015 0:04,2,1.3,-73.96403503,40.76782608,1,N,-73.9750824,40.75205231,1,6,0.5,0.5,1,0,0.3,8.3
2,7/1/2015 0:00,7/1/2015 0:07,1,2.1,-73.98377991,40.75521851,1,N,-73.98738861,40.73337173,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,7/1/2015 0:00,7/1/2015 0:11,5,1.56,-73.98579407,40.72777557,1,N,-74.00482178,40.73748779,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,7/1/2015 0:00,7/1/2015 0:25,1,6.94,-73.95609283,40.7790184,1,N,-73.96334839,40.71031189,1,23,0.5,0.5,1,0,0.3,25.3
2,7/1/2015 0:00,7/1/2015 0:09,2,1.75,-73.98954773,40.73965836,1,N,-74.00447083,40.72555923,2,8.5,0.5,0.5,0,0,0.3,9.8
2,7/1/2015 0:00,7/1/2015 0:28,2,7.53,-73.98352051,40.72613907,1,N,-73.93209839,40.75360107,2,25.5,0.5,0.5,0,5.54,0.3,32.34
1,7/1/2015 0:00,7/1/2015 0:13,1,3.9,-73.99324036,40.72969437,1,N,-73.95509338,40.76897812,1,13.5,0.5,0.5,2.95,0,0.3,17.75
2,7/1/2015 0:00,7/1/2015 0:43,1,18.8,-73.98889923,40.75334549,1,N,-74.12683868,40.60359573,1,53.5,0.5,0.5,0,16.62,0.3,71.42
2,7/1/2015 0:00,7/1/2015 0:07,5,1.42,-73.96040344,40.7195816,1,N,-73.94418335,40.72367859,1,7,0.5,0.5,1.66,0,0.3,9.96
